subjno,dayno,beep,group,emo1_m,emo2_m,emo3_m,emo4_m,emo5_m,emo6_m,emo7_m,emo8_m
1,21,4,2,76,25,8,66,19,66,66,15
1,21,5,2,,,,,,,,
1,21,6,2,75,74,71,70,27,21,11,26
1,22,1,2,74,78,68,71,78,13,17,13
1,22,2,2,66,29,17,67,11,8,68,13
1,22,3,2,78,6,19,79,14,19,70,63
1,22,4,2,83,78,71,92,8,7,7,22
1,22,5,2,75,79,67,69,25,21,10,24
1,22,6,2,73,67,71,69,19,16,25,22
1,23,1,2,,,,,,,,
1,23,2,2,77,78,20,79,12,3,14,15
1,23,3,2,89,85,77,77,25,24,14,6
1,23,4,2,90,84,77,99,9,100,6,9
1,23,5,2,85,81,80,93,14,9,7,12
1,23,6,2,83,89,78,83,11,8,11,11
1,24,1,2,80,76,76,83,5,6,0,20
1,24,2,2,,,,,,,,
1,24,3,2,,,,,,,,
1,24,4,2,80,84,84,76,14,8,0,11
1,24,5,2,94,96,98,87,8,6,10,15
1,24,6,2,100,86,74,76,14,67,12,17
1,25,1,2,79,79,74,75,98,12,16,76
1,25,2,2,93,81,75,82,14,77,10,21
1,25,3,2,25,24,18,82,21,64,16,78
1,25,4,2,,,,,,,,
1,25,5,2,,,,,,,,
1,25,6,2,,,,,,,,
1,26,1,2,,,,,,,,
1,26,2,2,,,,,,,,
1,26,3,2,87,78,25,80,24,99,66,27
1,26,4,2,64,34,67,82,13,92,40,3
1,26,5,2,,,,,,,,
1,26,6,2,,,,,,,,
1,27,1,2,83,15,16,11,76,82,59,85
1,27,2,2,12,7,7,11,76,76,95,97
1,27,3,2,7,13,7,16,69,72,87,100
1,27,4,2,18,10,22,10,89,91,87,89
1,27,5,2,7,15,12,14,78,87,100,97
1,27,6,2,13,15,9,13,66,100,81,60
1,28,1,2,79,73,78,79,20,82,17,73
1,28,2,2,,,,,,,,
1,28,3,2,,,,,,,,
1,28,4,2,,,,,,,,
1,28,5,2,90,19,9,25,79,80,80,76
1,28,6,2,87,83,83,84,26,98,9,66
1,29,1,2,92,82,85,83,10,9,10,17
1,29,2,2,,,,,,,,
1,29,3,2,33,16,79,78,81,18,81,25
1,29,4,2,62,27,75,60,25,27,78,68
1,29,5,2,35,39,21,90,32,64,67,69
1,29,6,2,19,65,68,18,65,94,18,92
1,30,1,2,85,71,14,83,30,81,70,42
1,30,2,2,,,,,,,,
1,30,3,2,77,82,35,76,7,4,0,72
1,30,4,2,68,48,22,24,16,18,23,32
1,30,5,2,75,79,87,93,0,20,26,5
1,30,6,2,78,82,88,97,8,7,9,6
1,31,1,2,78,86,81,88,20,19,4,10
1,31,2,2,84,79,87,73,0,19,5,6
1,31,3,2,100,96,33,98,20,5,2,12
1,31,4,2,83,90,84,77,11,90,7,15
1,31,5,2,91,76,83,86,4,4,27,29
1,31,6,2,30,68,20,73,26,2,62,96
1,32,1,2,77,51,36,95,59,94,17,80
1,32,2,2,33,37,21,75,0,1,82,70
1,32,3,2,85,92,70,83,16,15,0,13
1,32,4,2,16,17,93,4,71,82,89,92
1,32,5,2,82,85,88,83,8,22,1,94
1,32,6,2,89,84,83,85,2,5,6,74
1,33,1,2,77,80,84,78,10,3,9,33
1,33,2,2,80,79,88,81,7,0,0,79
1,33,3,2,75,77,70,81,8,11,3,8
1,33,4,2,79,87,76,90,6,9,16,11
1,33,5,2,79,76,83,77,16,11,5,10
1,33,6,2,85,88,86,91,0,12,6,76
1,34,1,2,84,82,87,93,90,16,4,16
1,34,2,2,,,,,,,,
1,34,3,2,78,60,7,49,2,75,60,0
1,34,4,2,18,9,12,16,68,14,71,68
1,34,5,2,,,,,,,,
1,34,6,2,70,88,79,92,14,6,4,18
1,35,1,2,83,85,86,96,39,13,16,72
1,35,2,2,,,,,,,,
1,35,3,2,,,,,,,,
1,35,4,2,90,90,79,97,1,5,10,76
1,35,5,2,89,94,88,83,30,27,21,40
1,35,6,2,84,91,69,36,20,17,7,68
1,36,1,2,85,76,83,89,77,10,26,23
1,36,2,2,81,20,27,69,0,1,68,1
1,36,3,2,95,90,84,79,24,4,0,17
1,36,4,2,77,92,75,86,16,73,1,29
1,36,5,2,,,,,,,,
1,36,6,2,100,86,75,98,10,10,7,16
1,37,1,2,77,90,75,85,11,100,4,15
1,37,2,2,85,81,24,82,70,75,25,34
1,37,3,2,,,,,,,,
1,37,4,2,,,,,,,,
1,37,5,2,,,,,,,,
1,37,6,2,95,95,88,86,23,91,5,24
1,38,1,2,71,72,81,85,24,14,19,27
1,38,2,2,,,,,,,,
1,38,3,2,85,77,84,82,7,3,23,66
1,38,4,2,75,67,38,67,26,2,49,68
1,38,5,2,94,97,82,91,3,6,7,9
1,38,6,2,91,95,77,100,22,2,5,17
1,39,1,2,80,87,83,81,26,21,11,80
1,39,2,2,74,92,98,91,4,1,1,14
1,39,3,2,79,92,79,85,10,18,4,24
1,39,4,2,86,86,98,86,22,9,12,19
1,39,5,2,91,100,88,84,8,16,7,12
1,39,6,2,,,,,,,,
1,40,1,2,84,91,83,100,64,23,8,61
1,40,2,2,90,86,84,84,20,21,21,19
1,40,3,2,97,68,83,98,0,3,0,10
1,40,4,2,96,79,80,100,27,30,66,30
1,40,5,2,,,,,,,,
1,40,6,2,89,86,17,91,14,14,7,14
2,1,1,2,,,,,,,,
2,1,2,2,75,12,13,44,13,22,26,25
2,1,3,2,36,0,33,62,58,0,70,0
2,1,4,2,72,87,100,84,17,0,12,0
2,1,5,2,43,0,81,36,0,0,30,0
2,1,6,2,60,0,25,48,0,0,0,0
2,2,1,2,88,100,71,84,0,0,0,0
2,2,2,2,,,,,,,,
2,2,3,2,49,81,60,72,0,0,0,16
2,2,4,2,,,,,,,,
2,2,5,2,56,24,61,12,10,0,22,0
2,2,6,2,16,0,37,25,37,0,80,36
2,3,1,2,,,,,,,,
2,3,2,2,,,,,,,,
2,3,3,2,,,,,,,,
2,3,4,2,100,100,37,100,5,0,5,0
2,3,5,2,65,29,66,30,1,1,16,0
2,3,6,2,75,51,51,93,2,0,9,1
2,4,1,2,0,4,0,22,0,0,82,45
2,4,2,2,20,2,8,30,0,3,59,13
2,4,3,2,46,0,35,22,1,2,17,19
2,4,4,2,71,40,54,54,2,1,18,10
