"id";"day";"afraid";"active";"alert";"nervous";"attentive";"determined";"hostile";"inspired";"ashamed";"upset"
1;1;1;0;0;2;0;0;0;0;3;2
1;2;1;0;0;3;1;1;0;1;2;3
1;3;1;1;1;3;1;0;0;1;3;2
1;4;1;0;0;2;0;1;0;NA;2;2
1;5;1;0;1;2;1;1;0;1;2;1
1;6;1;1;0;2;0;0;0;0;2;1
1;7;0;0;0;3;1;1;0;0;2;1
1;8;1;1;1;1;0;1;0;NA;0;1
1;9;1;0;0;3;1;1;0;1;1;2
1;10;1;0;1;2;0;1;0;0;3;1
1;11;0;0;0;2;1;1;0;1;3;1
1;12;1;0;0;3;1;0;0;1;2;1
1;13;1;1;1;1;1;1;0;0;3;1
1;14;1;1;0;3;0;1;0;0;3;1
1;15;0;0;0;2;1;1;0;1;2;1
1;16;1;1;0;3;1;1;0;0;2;1
1;17;0;1;0;2;1;1;0;1;3;0
1;18;0;1;1;2;1;1;0;1;1;1
1;19;2;1;0;3;0;1;0;1;3;3
1;20;1;0;1;2;1;1;0;0;3;2
1;21;1;1;1;2;1;0;0;1;2;1
1;22;0;1;0;2;0;1;0;0;2;1
1;23;0;0;1;2;1;0;NA;1;3;3
1;24;0;1;0;3;1;0;0;0;3;0
1;25;1;1;0;3;0;1;0;0;3;1
1;26;1;1;1;3;0;1;0;0;2;1
1;27;0;0;0;3;0;1;0;1;2;1
1;28;0;1;0;2;1;0;0;1;3;1
1;29;0;2;1;3;2;1;0;1;1;0
1;30;0;2;0;3;1;1;0;1;2;2
1;31;0;1;0;3;1;0;0;1;2;1
1;32;0;1;0;2;1;1;0;1;3;0
1;33;0;1;0;2;1;1;0;1;3;0
1;34;0;2;0;3;1;1;0;1;3;1
1;35;0;1;0;2;1;1;0;1;3;1
1;36;0;1;0;2;1;1;0;0;3;2
1;37;0;1;1;2;0;0;0;1;3;1
1;38;0;1;0;3;1;0;0;0;3;1
1;39;0;1;0;3;0;1;0;1;3;0
1;40;0;0;0;2;0;1;0;0;3;2
1;41;1;1;0;2;1;1;0;1;3;0
1;42;0;1;1;2;0;1;0;0;3;1
1;43;1;0;0;2;0;0;0;0;4;3
1;44;0;0;1;2;0;0;0;0;3;1
1;45;0;1;0;3;0;0;0;1;4;1
1;46;1;1;0;2;0;1;0;1;3;0
1;47;0;1;1;2;0;1;0;0;3;1
1;48;1;0;0;2;1;1;0;1;3;1
1;49;0;1;1;3;1;1;0;2;1;0
1;50;0;1;0;2;1;1;0;1;3;1
1;51;0;1;0;3;0;1;0;1;2;1
1;52;0;1;0;3;1;0;0;0;3;2
1;53;0;1;0;2;1;0;0;0;3;1
1;54;0;1;0;3;0;1;0;1;3;2
1;55;0;1;0;1;1;1;0;1;2;0
1;56;0;1;0;2;2;1;0;1;3;0
1;57;0;2;0;3;1;1;0;1;3;2
1;58;0;1;1;3;0;0;0;1;3;1
1;59;0;1;0;3;1;0;0;0;3;2
1;60;1;1;0;4;0;1;0;0;3;3
1;61;1;1;0;2;0;1;0;0;3;2
1;62;1;1;0;3;1;0;0;0;3;1
1;63;1;0;0;3;0;1;0;1;1;2
1;64;1;1;0;3;1;0;0;0;2;1
1;65;0;1;1;3;0;1;0;0;2;0
1;66;0;1;1;2;0;1;0;0;2;0
1;67;0;1;0;2;0;1;0;1;3;0
1;68;0;1;0;2;0;0;0;0;2;0
1;69;0;2;0;3;1;1;0;0;3;2
1;70;0;1;0;2;0;1;0;0;2;1
1;71;1;1;1;3;0;1;0;0;3;1
1;72;0;1;0;2;0;0;0;0;2;1
1;73;0;1;0;2;0;1;0;1;3;2
1;74;1;0;0;3;0;0;0;0;4;2
1;75;3;1;0;4;0;0;0;0;3;4
1;76;1;1;0;4;0;0;0;0;3;1
1;77;2;0;0;4;0;0;1;0;4;4
1;78;3;0;0;4;0;0;0;0;4;3
1;79;2;0;0;4;1;0;0;0;3;2
1;82;1;1;1;2;1;0;0;0;3;1
1;83;0;1;0;3;1;1;0;0;3;2
1;84;0;1;0;2;0;0;0;1;2;1
1;85;1;1;0;2;0;1;0;0;2;1
1;86;0;1;0;2;1;1;0;1;2;1
1;87;1;1;0;2;1;0;0;0;2;0
1;88;1;1;0;3;0;0;0;0;2;1
1;89;1;1;0;3;1;0;0;0;2;1
1;90;0;1;1;4;1;0;0;0;1;1
1;92;0;NA;0;NA;0;0;0;1;1;0
1;99;0;1;1;3;1;0;0;0;2;1
1;100;0;1;0;2;0;0;0;1;2;0
1;101;0;1;0;3;1;0;0;0;1;1
2;1;3;3;3;1;1;3;2;3;1;0
2;2;0;3;3;1;3;2;0;3;0;1
2;3;1;3;3;0;3;3;0;3;0;1
2;4;0;3;3;1;3;3;0;3;0;0
2;5;0;3;3;1;3;3;0;3;0;0
2;6;0;3;3;1;3;3;0;3;0;1
2;7;0;3;3;1;3;3;0;2;1;0
2;8;1;3;3;1;3;3;0;3;0;0
2;9;2;3;3;2;3;3;1;3;1;0
2;10;1;3;3;1;3;3;0;3;0;1
2;11;1;3;3;1;3;3;0;3;1;1
2;12;1;3;3;1;3;3;0;3;0;1
2;13;1;3;3;1;3;3;0;3;1;0
2;14;1;3;3;0;3;2;0;3;1;0
2;15;1;3;3;1;3;3;0;3;1;0
2;16;1;3;3;1;2;2;0;2;1;0
2;17;1;3;3;1;2;2;0;3;1;1
2;18;0;3;3;1;3;3;0;2;1;1
2;19;0;2;2;0;2;2;0;2;0;0
2;20;0;NA;2;2;2;2;0;2;0;0
2;21;2;2;2;0;NA;2;0;2;0;0
2;22;0;2;2;0;2;2;0;2;0;0
2;23;0;2;2;0;2;2;0;2;0;0
2;24;0;3;3;1;3;3;0;3;0;0
2;25;0;3;3;0;3;3;0;3;0;0
2;26;0;3;3;0;3;3;0;3;0;0
2;27;0;2;2;0;2;2;0;2;0;0
2;28;0;2;2;0;2;2;0;2;0;0
2;29;0;2;2;0;2;2;0;2;0;0
2;30;0;2;2;0;2;2;0;2;0;0
2;31;0;3;3;0;3;3;0;3;0;0
2;32;0;2;2;0;2;2;0;2;0;0
2;33;0;2;2;0;2;2;0;2;0;0
2;34;0;2;2;0;2;2;0;2;0;0
2;35;0;2;2;0;2;2;0;2;0;0
2;36;0;2;2;0;2;2;0;2;0;0
2;37;0;2;2;0;2;2;0;2;0;0
2;38;0;2;2;0;2;2;0;2;0;0
2;39;0;2;2;0;2;2;0;2;0;0
2;40;0;2;2;0;2;2;0;2;0;0
2;41;0;2;2;0;2;2;0;2;0;0
2;42;0;2;2;0;2;2;0;2;0;0
2;43;0;2;2;0;2;2;0;2;0;0
2;44;0;2;2;0;2;2;0;2;0;0
2;45;0;2;2;0;2;2;0;2;0;0
2;46;0;2;2;0;2;2;0;2;0;0
2;47;1;2;2;1;2;2;0;2;1;0
