ID;KWAAD;KWAAD_1;DEPRE;DEPRE_1;DROEV;DROEV_1;ANGST;ANGST_1;ONTSP;ONTSP_1;BLIJ;BLIJ_1;ID;Neuroticism score
3;14;5;14;1;19;19;5;1;61;59;68;64;;
3;16;14;16;14;19;19;1;5;61;61;71;68;;
3;13;16;16;16;13;19;1;1;70;61;79;71;;
3;9;9999;1;9999;16;9999;12;9999;54;9999;61;9999;;
3;1;9;13;1;1;16;1;12;64;54;54;61;;
3;1;1;1;13;6;1;7;1;78;64;65;54;;
3;26;1;1;1;9;6;19;7;44;78;62;65;;
3;23;26;18;1;30;9;7;19;47;44;50;62;;
3;22;23;14;18;19;30;1;7;54;47;46;50;;
3;9999;22;9999;14;9999;19;9999;1;9999;54;9999;46;;
3;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;;
3;1;9999;13;9999;10;9999;8;9999;67;9999;53;9999;;
3;1;1;14;13;11;10;2;8;61;67;61;53;;
3;17;9999;1;9999;5;9999;3;9999;61;9999;62;9999;;
3;22;17;7;1;8;5;1;3;60;61;59;62;;
3;27;22;1;7;1;8;4;1;36;60;39;59;;
3;22;27;9;1;8;1;11;4;66;36;52;39;;
3;19;22;1;9;1;8;15;11;62;66;67;52;;
3;17;19;15;1;9;1;8;15;64;62;62;67;;
3;20;17;12;15;17;9;1;8;39;64;63;62;;
3;42;20;6;12;16;17;1;1;90;39;76;63;;
3;9999;42;9999;6;9999;16;9999;1;9999;90;9999;76;;
3;18;9999;11;9999;16;9999;9;9999;67;9999;61;9999;;
3;22;9999;9;9999;9;9999;1;9999;61;9999;57;9999;;
3;20;22;1;9;14;9;1;1;44;61;54;57;;
3;12;20;17;1;4;14;10;1;39;44;61;54;;
3;24;12;1;17;11;4;9;10;57;39;59;61;;
3;26;24;10;1;19;11;9;9;75;57;57;59;;
3;11;26;8;10;21;19;8;9;71;75;58;57;;
3;13;11;9;8;27;21;8;8;76;71;50;58;;
3;9999;13;9999;9;9999;27;9999;8;9999;76;9999;50;;
3;1;9999;5;9999;13;9999;1;9999;74;9999;59;9999;;
3;12;1;8;5;6;13;1;1;81;74;60;59;;
4;1;9999;14;9999;17;9999;9;9999;46;9999;53;9999;;
4;1;1;14;14;9;17;11;9;48;46;62;53;;
4;45;1;3;14;16;9;14;11;26;48;34;62;;
4;9999;45;9999;3;9999;16;9999;14;9999;26;9999;34;;
4;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;;
4;15;9999;6;9999;1;9999;42;9999;24;9999;54;9999;;
4;34;9999;26;9999;52;9999;45;9999;41;9999;23;9999;;
4;10;34;20;26;23;52;16;45;50;41;52;23;;
4;1;10;1;20;66;23;23;16;26;50;20;52;;
4;1;1;42;1;59;66;2;23;55;26;42;20;;
4;40;1;26;42;10;59;1;2;14;55;22;42;;
4;12;40;21;26;32;10;20;1;60;14;26;22;;
4;1;12;1;21;17;32;3;20;69;60;71;26;;
4;9;1;1;1;12;17;1;3;78;69;76;71;;
4;21;9;11;1;22;12;3;1;52;78;55;76;;
4;9999;21;9999;11;9999;22;9999;3;9999;52;9999;55;;
4;53;9999;8;9999;13;9999;32;9999;57;9999;15;9999;;
4;37;53;5;8;1;13;6;32;59;57;25;15;;
4;10;37;49;5;45;1;1;6;62;59;49;25;;
4;47;10;6;49;39;45;14;1;15;62;45;49;;
4;15;47;1;6;17;39;35;14;52;15;49;45;;
4;1;15;1;1;1;17;1;35;18;52;78;49;;
4;1;1;1;1;1;1;26;1;39;18;61;78;;
4;9999;1;9999;1;9999;1;9999;26;9999;39;9999;61;;
4;1;9999;1;9999;1;9999;1;9999;38;9999;69;9999;;
4;1;1;5;1;1;1;4;1;81;38;86;69;;
4;53;9999;11;9999;12;9999;8;9999;13;9999;24;9999;;
4;9;53;1;11;1;12;3;8;31;13;22;24;;
4;45;9;5;1;10;1;3;3;1;31;33;22;;
4;37;45;8;5;9;10;1;3;53;1;61;33;;
4;54;37;1;8;43;9;1;1;42;53;38;61;;
4;1;54;1;1;26;43;1;1;57;42;55;38;;
4;9999;1;9999;1;9999;26;9999;1;9999;57;9999;55;;
4;18;9999;27;9999;53;9999;47;9999;43;9999;48;9999;;
4;1;18;6;27;47;53;43;47;52;43;68;48;;
4;1;9999;1;9999;55;9999;57;9999;15;9999;24;9999;;
4;1;1;52;1;52;55;47;57;5;15;15;24;;
4;1;1;1;52;24;52;32;47;51;5;54;15;;
4;1;1;31;1;31;24;51;32;54;51;52;54;;
4;2;1;1;31;15;31;36;51;61;54;55;52;;
4;42;2;43;1;1;15;20;36;21;61;47;55;;
4;1;42;41;43;1;1;1;20;54;21;42;47;;
4;55;1;1;41;26;1;23;1;34;54;30;42;;
4;44;55;57;1;61;26;41;23;19;34;19;30;;
4;39;44;51;57;52;61;61;41;23;19;15;19;;
4;34;9999;3;9999;45;9999;12;9999;68;9999;61;9999;;
4;20;34;9;3;16;45;9;12;34;68;47;61;;
4;1;20;20;9;47;16;13;9;39;34;47;47;;
4;8;1;1;20;12;47;3;13;47;39;62;47;;
4;1;8;40;1;1;12;2;3;59;47;55;62;;
4;48;1;1;40;12;1;1;2;54;59;61;55;;
4;1;48;1;1;9;12;4;1;50;54;53;61;;
4;61;1;40;1;1;9;12;4;23;50;43;53;;
4;1;61;6;40;8;1;2;12;75;23;79;43;;
4;47;1;44;6;1;8;1;2;54;75;49;79;;
4;48;9999;1;9999;31;9999;2;9999;38;9999;47;9999;;
4;63;48;1;1;1;31;1;2;61;38;63;47;;
4;1;63;1;1;1;1;1;1;57;61;48;63;;
4;48;1;1;1;1;1;1;1;47;57;53;48;;
4;1;48;1;1;1;1;1;1;68;47;53;53;;
4;9999;1;9999;1;9999;1;9999;1;9999;68;9999;53;;
4;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;;
4;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;;
4;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;;
6;13;9999;5;9999;5;9999;12;9999;72;9999;36;9999;;
6;9;13;15;5;12;5;4;12;12;72;66;36;;
6;9999;9;9999;15;9999;12;9999;4;9999;12;9999;66;;
6;3;9999;3;9999;6;9999;10;9999;79;9999;78;9999;;
6;11;3;2;3;6;6;1;10;86;79;75;78;;
6;1;11;4;2;4;6;1;1;88;86;88;75;;
6;36;9999;9;9999;3;9999;5;9999;72;9999;36;9999;;
6;59;36;20;9;14;3;10;5;27;72;29;36;;
6;62;59;55;20;88;14;40;10;12;27;13;29;;
6;64;62;69;55;69;88;43;40;12;12;12;13;;
6;59;64;58;69;61;69;12;43;19;12;19;12;;
6;21;59;40;58;48;61;19;12;21;19;24;19;;
6;17;21;24;40;19;48;12;19;82;21;68;24;;
6;26;17;24;24;33;19;14;12;59;82;35;68;;
6;12;26;5;24;1;33;1;14;89;59;61;35;;
6;12;12;14;5;13;1;9;1;65;89;56;61;;
6;41;9999;17;9999;51;9999;10;9999;28;9999;33;9999;;
6;9;41;10;17;16;51;4;10;52;28;50;33;;
6;9;9;8;10;5;16;12;4;65;52;54;50;;
6;3;9;1;8;1;5;6;12;77;65;68;54;;
6;25;3;14;1;3;1;7;6;73;77;44;68;;
6;1;25;1;14;21;3;1;7;59;73;50;44;;
6;75;1;67;1;74;21;12;1;17;59;12;50;;
6;83;75;82;67;95;74;6;12;19;17;5;12;;
6;26;83;41;82;11;95;14;6;45;19;39;5;;
6;24;26;16;41;42;11;12;14;37;45;10;39;;
6;8;9999;11;9999;19;9999;5;9999;64;9999;61;9999;;
6;2;8;10;11;6;19;2;5;79;64;61;61;;
6;1;2;4;10;1;6;2;2;82;79;63;61;;
6;1;1;1;4;5;1;12;2;53;82;60;63;;
6;1;1;2;1;1;5;4;12;51;53;60;60;;
6;8;1;1;2;1;1;7;4;64;51;61;60;;
6;5;8;4;1;5;1;2;7;67;64;4;61;;
6;2;5;1;4;1;5;1;2;82;67;86;4;;
6;1;2;1;1;2;1;1;1;73;82;61;86;;
6;4;1;3;1;5;2;1;1;81;73;59;61;;
6;1;9999;1;9999;1;9999;9;9999;70;9999;60;9999;;
6;1;1;5;1;4;1;4;9;69;70;61;60;;
