"ParticipantID";"Gender";"Age"
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;NA;NA
1;NA;NA
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;0;35
1;NA;NA
1;0;35
1;NA;NA
1;NA;NA
1;NA;NA
1;NA;NA
1;NA;NA
1;NA;NA
1;0;35
1;0;35
1;0;35
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
2;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;NA;NA
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;NA;NA
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;NA;NA
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;NA;NA
3;NA;NA
3;NA;NA
3;NA;NA
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;NA;NA
3;1;54
3;NA;NA
3;1;54
3;1;54
3;NA;NA
3;1;54
3;1;54
3;1;54
3;NA;NA
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
3;NA;NA
3;1;54
3;1;54
3;1;54
3;1;54
3;1;54
4;1;37
4;1;37
4;1;37
4;1;37
4;1;37
4;1;37
4;1;37
4;1;37
4;1;37
4;1;37
4;1;37
4;1;37
4;1;37
4;1;37
4;1;37
4;1;37
4;1;37
4;1;37
4;1;37
4;1;37
4;1;37
4;NA;NA
4;1;37
4;1;37
4;1;37
4;1;37
4;1;37
4;1;37
4;1;37
4;NA;NA
4;1;37
4;1;37
4;1;37
4;NA;NA
4;1;37
4;1;37
4;1;37
4;1;37
4;1;37
4;1;37
4;NA;NA
4;1;37
4;1;37
4;NA;NA
4;1;37
4;1;37
4;1;37
4;NA;NA
4;NA;NA
4;1;37
4;NA;NA
4;NA;NA
4;1;37
4;1;37
4;1;37
4;1;37
4;1;37
4;1;37
4;1;37
4;1;37
4;1;37
4;NA;NA
4;NA;NA
4;1;37
4;NA;NA
4;1;37
4;1;37
4;NA;NA
4;1;37
4;NA;NA
4;NA;NA
4;1;37
4;NA;NA
4;NA;NA
4;NA;NA
4;NA;NA
4;NA;NA
4;NA;NA
